67	54	44	42	-1	3	4	-1	-1	29	0	44	0	43	-1	17	0	-1	23	0	1	45	1	0	-1	-1	-1	-1	-1	-1	-1	-1
35	-1	18	7	40	16	-1	4	58	45	-1	37	15	-1	0	8	14	3	-1	12	-1	47	0	0	0	-1	-1	-1	-1	-1	-1	-1
42	23	4	-1	61	27	58	2	63	0	3	-1	-1	2	13	0	-1	0	53	56	18	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
43	1	-1	22	36	-1	10	60	53	-1	41	18	57	36	43	-1	26	21	0	-1	41	36	1	-1	-1	0	-1	-1	-1	-1	-1	-1
30	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
45	37	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	38	-1	-1	-1	-1	7	0	-1	-1	-1	-1	0	-1	-1	-1	-1
8	-1	-1	-1	-1	-1	0	-1	-1	-1	25	18	-1	59	-1	-1	-1	33	7	-1	36	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1
25	45	-1	-1	10	-1	-1	40	32	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
54	0	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	26	-1	-1	46	-1	15	14	-1	54	-1	-1	-1	-1	-1	0	-1
18	15	-1	-1	-1	-1	-1	-1	-1	-1	21	62	-1	45	-1	-1	-1	60	4	-1	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
