9	21	12	26	-1	-1	29	-1	-1	13	0	0	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	-1	6	29	29	2	28	0	28	-1	0	0	-1	-1	-1	-1	-1	-1	-1
17	18	-1	12	20	-1	-1	-1	16	-1	1	-1	0	0	-1	-1	-1	-1	-1	-1
-1	8	26	-1	30	8	17	22	18	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1
19	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	0	-1	-1	-1	-1	-1
7	9	-1	-1	-1	2	-1	31	-1	-1	-1	7	-1	-1	-1	0	-1	-1	-1	-1
27	-1	-1	-1	-1	4	-1	13	-1	28	-1	30	-1	-1	-1	-1	0	-1	-1	-1
-1	1	-1	-1	-1	19	-1	12	-1	-1	-1	3	-1	20	-1	-1	-1	0	-1	-1
14	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	0	-1
-1	11	-1	-1	-1	-1	-1	-1	13	-1	29	23	-1	-1	-1	-1	-1	-1	-1	0
